step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,1,0.5,0.5,1.0050000000000001,,What is this vessel and where did it come from?,"This object is a ceramic vessel with a strap handle created by the Nazca people. The Nazca lived in south coastal Peru from approximately 100 BC to 650 AD. They were an agrarian society and used intensive agricultural practices to farm in their desert environment. The vessel has flamingo iconography and is 7 inches tall by 7 ½ inches wide. This naturalistic iconography is common to the Early Nasca period, likely created between 75 BC to 300 AD. The vessel’s shape is common for the Nazca people and was most likely used for storage then placed in a funeral as a burial good. 
",,Learn more,nazca-ceramic-vessel-kce5-where-the-nazca.md,,,,,
2,coiling,0.5160256410256405,0.49098986185383253,1,,How was the vessel created?,"The primary ceramic techniques for the flamingo vessel were likely coiling for the upper body, and direct shaping for the base and handle, with some scraping and paddling as secondary methods to thin out the walls of the basin. Evidence of specialized craftswork, such as at the site of Cahuachi, suggests a practice which was at least somewhat geographically concentrated.
",,Learn more,nazca-ceramic-vessel-kce5-learn-more.md,Go deeper,nazca-ceramic-vessel-kce5-how-did-archaeologists.md,,,
3,unnamed,0.499836580634278,0.5,1,,How might the object’s shape and form have been influenced by its function?,"This vessel, being thin in material with an intricately painted design, is classified as fineware, and was most likely formed with a very fine paste. This contrasts utilitarian Nazca vessels, which are thick, unpainted, and often made with a more coarse (therefore durable) paste. The flamingo vessel, then, was intended for delicate use: whereas utilitarian vessels were used for things like preparing food, fineware was more often used for merely storing and serving it.
",,Learn more,nazca-ceramic-vessel-kce5-more-about-the.md,,,,,
4,side-of-ceramic-vessel,0.5,0.5,1,,Was this vessel used by elites or commoners?,"
Although the production of polychrome ceramics was largely controlled by elites, polychrome vessels were found across multiple social groups in Nazca society. Certain vessel types, such as headjars, cup bowls, collared jars and modeled vessels were generally restricted to elites, with headjars and double-spout-and-bridge vessels being particularly prized, but more ordinary polychrome vessels were widely accessible across Nazca society. It is difficult to determine exactly who used this vessel, however, as a fineware vessel with elaborate flamingo imagery, it is quite likely it was used by elites. Curiously, polychrome vessels were distributed by elites to non-elites during feasting ceremonies to enhance and legitimize their political authority, which means vessels originally used by elites in ritualistic and ceremonial contexts could have ended up in the households of commoners via this distributional practice.",,Learn more,nazca-ceramic-vessel-kce5-how-did-the.md,,,,,
5,side-of-ceramic-vessel,0.5,0.5,3.375,," What spiritual/iconographic significance did birds hold in Nazca society?","We hypothesize that the birds depicted on the vessel are Chilean Flamingos which are native to the western coast of South America. The Nazca have a history of depicting flamingos in their art. Archeologists have found eleven Nasca geoglyphs depicting birds, one of which is the Chilean Flamingo. The Nazca often included birds in their art which reinforces the sacred relationship between the people and the environment.
",,Learn more,nazca-ceramic-vessel-kce5-what-do-different.md,Go deeper,nazca-ceramic-vessel-kce5-do-the-nazca.md,,,
6,1,0.4775746457489879,0.4299938725490195,1.5,,Readings And References,,,Learn more,nazca-ceramic-vessel-kce5-step6-layer1.md,,,,,
7,back-of-ceramic-vessel,0.5,0.5,1,,About ARTHI130D,"This project was completed by Arden Ono, Katy DeNezza, Jules Pelayo, and Toby Dussault. We chose this ceramic vessel from the Nazca and wanted to lean more about Nazca culture, iconography, and practices surrounding the production and use of ceramics. ",,,,,,,,
