step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,back-of-ceramic-vessel,0.5443712399764127,0.468037593752652,1.5552,," What is this vessel and where did it come from? ","This object is a ceramic vessel with a strap handle created by the Nazca people. The Nazca lived in south coastal Peru from approximately 100 BC to 650 AD. They were an agrarian society and used intensive agricultural practices to farm in their desert environment. The vessel has flamingo iconography and is 7 inches tall by 7 ½ inches wide. This naturalistic iconography is common to the Early Nasca period, likely created between 75 BC to 300 AD. The vessel’s shape is common for the Nazca people and was most likely used for storage then placed in a funeral as a burial good. 
",,Learn more,nazca-ceramic-vessel-ii4z-learn-more.md,,,,,
2,1,0.45440030285389366,0.4316284854353531,1.5150375,," How was the vessel created?","The primary ceramic techniques for the flamingo vessel were likely coiling for the upper body, and direct shaping for the base and handle, with some scraping and paddling as secondary methods to thin out the walls of the basin. Evidence of specialized craftswork, such as at the site of Cahuachi, suggests a practice which was at least somewhat geographically concentrated.
",,Learn more,nazca-ceramic-vessel-ii4z-learn-morehhh.md,Go deeper,nazca-ceramic-vessel-ii4z-how-did-archaeologists.md,,,
3,unnamed,0.499673161268556,0.527169674688057,1,,How might the object’s shape and form have been influenced by its function?,"This flamingo vessel has a very unique spout: it is wider than that of most Nazca vessels, and appears to have a handle-like bar perfectly fitted for convenient carrying. Throughout the Early Intermediate period (100-650 CE), the Nazca people produced a wide variety of intricate ceramic forms, including bowls, bottles, dishes, and jars, with a wide variety of pigments and designs. At first, it may seem that This vessel, being thin in material with an intricately painted design, is classified as fineware, and was most likely formed with a very fine paste. This contrasts utilitarian Nazca vessels, which are thick, unpainted, and often made with a more coarse (therefore durable) paste. The flamingo vessel, then, was intended for delicate use: whereas utilitarian vessels were used for things like preparing food, fineware was more often used for merely storing and serving it.
",,Learn more,nazca-ceramic-vessel-ii4z-more-about-the.md,,,,,
4,1,0.4738621383762096,0.3920804944300638,2.036944669365722,,"When would this object have been used? → religious/rituals, everyday, etc","As a fineware vessel, this object was likely valued primarily for its visual design. However, the wear on the interior vessel suggests that it was used to contain something—perhaps a soft grain, or another minimally-abrasive resource. Polychrome ceramics in Nazca society would also often have funerary functions, being placed in a tomb after serving their domestic purpose. Therefore, this vessel could have both served as a container and as a burial good",,Learn more,nazca-ceramic-vessel-ii4z-was-this-vessel.md,Go deeper,nazca-ceramic-vessel-ii4z-how-did-the.md,,,
5,side-of-ceramic-vessel,0.532000731216132,0.5291394233466197,3.148232962790941,," What spiritual/iconographic significance did birds hold in Nasca society?","We hypothesize that the birds depicted on the vessel are Chilean Flamingos which are native to the western coast of South America. The Nazca have a history of depicting flamingos in their art. Archeologists have found eleven Nasca geoglyphs depicting birds, one of which is the Chilean Flamingo. The Nazca often included birds in their art which reinforces the sacred relationship between the people and the environment.
",,Learn more,nazca-ceramic-vessel-ii4z-what-do-different.md,Go deeper,nazca-ceramic-vessel-ii4z-do-the-nazca.md,,,
6,1,0.4529259915216151,0.4774505203427239,1.3715766931174094,,Readings and references,,,Learn more,nazca-ceramic-vessel-ii4z-step6-layer1.md,,,,,
